scale_factor,redshift,D_plus_LCDM,D_plus_diss
0.1,9.0,0.06938759468238914,0.07412712803841899
0.1090909090909091,8.166666666666666,0.07597550713207417,0.08108659892129413
0.1181818181818182,7.46153846153846,0.08261119943009683,0.08808384709108412
0.1272727272727273,6.857142857142856,0.08929493488195041,0.09511911280400896
0.13636363636363635,6.333333333333334,0.09602697808719841,0.1021926388966689
0.14545454545454545,5.875,0.10280759494544528,0.10930467082821073
0.15454545454545454,5.470588235294118,0.10963705266233291,0.11645545672353824
0.16363636363636364,5.111111111111111,0.11651561975556428,0.12364524741760687
0.17272727272727273,4.7894736842105265,0.12344356606095368,0.13087429650084367
0.18181818181818182,4.5,0.1304211627385035,0.13814286036573548
0.19090909090909092,4.238095238095238,0.13744868227850812,0.14545119825463157
0.2,4.0,0.14452639850768498,0.15279957230880903
0.2090909090909091,3.782608695652174,0.15165458659533243,0.16018824761885128
0.2181818181818182,3.583333333333333,0.15883352305951517,0.16761749227639391
0.22727272727272727,3.4000000000000004,0.16606348577327698,0.17508757742729375
0.23636363636363636,3.230769230769231,0.17334475397088087,0.18259877732628185
0.24545454545454545,3.0740740740740744,0.180677608254077,0.19015136939316313
0.2545454545454545,2.928571428571429,0.1880623305983982,0.1977456342706294
0.26363636363636367,2.7931034482758617,0.19549920435948356,0.20538185588375774
0.2727272727272727,2.666666666666667,0.20298851427942946,0.21306032150126752
0.28181818181818186,2.548387096774193,0.21053054649316988,0.22078132179861878
0.2909090909090909,2.4375,0.21812558853488323,0.22854515092303224
0.3,2.3333333333333335,0.22577392934442925,0.23635210656052594
0.3090909090909091,2.235294117647059,0.233475859273813,0.24420249000505925
0.3181818181818182,2.142857142857143,0.24123167009367846,0.25209660622988983
0.32727272727272727,2.0555555555555554,0.24904165499983016,0.2600347639612496
0.33636363636363636,1.9729729729729728,0.2569061086197839,0.26801727575445594
0.34545454545454546,1.8947368421052633,0.2648253270193464,0.27604445807258193
0.3545454545454545,1.8205128205128207,0.2727996077092244,0.284116631367817
0.36363636363636365,1.75,0.2808292496516621,0.29223412016565864
0.3727272727272727,1.6829268292682928,0.28891455326710885,0.30039725315208604
0.38181818181818183,1.619047619047619,0.2970558204409158,0.3086063632638784
0.3909090909090909,1.558139534883721,0.3052533545300621,0.3168617877822495
0.4,1.5,0.31350746036991145,0.3251638684299862
0.40909090909090906,1.4444444444444446,0.3218184442809972,0.33351295147229015
0.4181818181818182,1.391304347826087,0.3301866140758393,0.34190938782154
0.42727272727272725,1.3404255319148937,0.33861227906578917,0.3503535331462028
0.4363636363636364,1.2916666666666665,0.347095750067907,0.3588457479841506
0.44545454545454544,1.2448979591836737,0.3556373394118672,0.36738639786064703
0.4545454545454546,1.1999999999999997,0.3642373609468967,0.37597585341130335
0.4636363636363636,1.156862745098039,0.37289613004874145,0.3846144905103157
0.47272727272727266,1.1153846153846159,0.3816139636266659,0.3933026904043331
0.4818181818181818,1.0754716981132075,0.3903911801304817,0.40204083985232647
0.49090909090909085,1.0370370370370372,0.399228099557608,0.4108293312718692
0.5,1.0,0.4081250434601637,0.4196685628922731
0.509090909090909,0.9642857142857144,0.4170823349520891,0.4285589389150615
0.5181818181818182,0.9298245614035088,0.42610029871630123,0.43750086968231533
0.5272727272727272,0.8965517241379313,0.4351792610118789,0.44649477185346764
0.5363636363636364,0.8644067796610169,0.44431954968128046,0.45554106859118754
0.5454545454545454,0.8333333333333335,0.45352149415759285,0.4646401897570537
0.5545454545454546,0.8032786885245902,0.46278542547181334,0.47379257211778925
0.5636363636363636,0.774193548387097,0.472111676260162,0.48299865956291
0.5727272727272728,0.746031746031746,0.4815005807714285,0.4922589033347316
0.5818181818181818,0.71875,0.49095247487434884,0.5015737622717762
0.5909090909090909,0.6923076923076923,0.5004676960650167,0.5109437030667454
0.6,0.6666666666666667,0.5100465834743263,0.5203692005403492
0.609090909090909,0.6417910447761197,0.5196894778754481,0.5298507379324349
0.6181818181818182,0.6176470588235294,0.5293967216913381,0.5393888072120361
0.6272727272727272,0.5942028985507248,0.5391686590022793,0.5489839094081499
0.6363636363636364,0.5714285714285714,0.5490056355534576,0.5586365549632899
0.6454545454545454,0.5492957746478875,0.5589079987625692,0.5683472641121134
0.6545454545454545,0.5277777777777777,0.5688760977274642,0.5781165672877377
0.6636363636363636,0.5068493150684932,0.5789102832338205,0.5879450055587029
0.6727272727272727,0.4864864864864864,0.5890109077628548,0.5978331310999635
0.6818181818181818,0.4666666666666668,0.599178325499065,0.6077815077017695
0.6909090909090908,0.44736842105263186,0.6094128923380082,0.6177907113208716
0.7,0.4285714285714286,0.6197149658941128,0.6278613306791627
0.709090909090909,0.41025641025641035,0.6300849055085235,0.6379939679156731
0.7181818181818181,0.39240506329113933,0.6405230722569828,0.6481892392987934
0.7272727272727272,0.3750000000000002,0.6510298289577462,0.6584477760067632
0.7363636363636363,0.3580246913580247,0.6616055401795324,0.6687702249858499
0.7454545454545454,0.3414634146341464,0.6722505722495077,0.6791572498973442
0.7545454545454545,0.32530120481927716,0.6829652932613074,0.6896095321665751
0.7636363636363636,0.30952380952380976,0.6937500730830899,0.7001277721497008
0.7727272727272727,0.2941176470588236,0.7046052833656293,0.7107126904372104
0.7818181818181817,0.2790697674418605,0.7155312975504402,0.7213650293170355
0.7909090909090909,0.26436781609195403,0.7265284908779411,0.7320855544251851
0.7999999999999999,0.25,0.737597240395652,0.742875056618183
0.8090909090909091,0.2359550561797752,0.7487379249664287,0.7537343541097918
0.8181818181818181,0.22222222222222232,0.7599509252767325,0.764664294925143
0.8272727272727273,0.20879120879120872,0.7712366238449383,0.7756657597393991
0.8363636363636363,0.19565217391304346,0.7825954050296762,0.7867396651866959
0.8454545454545453,0.18279569892473124,0.7940276550382124,0.7978869677502654
0.8545454545454545,0.17021276595744683,0.8055337619348654,0.809108668379103
0.8636363636363635,0.1578947368421053,0.8171141156494591,0.8204058180245862
0.8727272727272727,0.14583333333333348,0.8287691079858149,0.8317795243586915
0.8818181818181817,0.13402061855670122,0.8404991326302783,0.8432309600344352
0.8909090909090909,0.12244897959183687,0.8523045851602854,0.8547613729962164
0.8999999999999999,0.11111111111111116,0.8641858630529647,0.8663720995721373
0.9090909090909091,0.10000000000000009,0.87614336569378,0.878064581433658
0.9181818181818181,0.08910891089108919,0.8881774943852068,0.8898403880844553
0.9272727272727272,0.07843137254901955,0.900288652355451,0.9017012475219272
0.9363636363636363,0.06796116504854388,0.9124772447672029,0.9136490894726498
0.9454545454545454,0.05769230769230771,0.9247436787264318,0.925686108951534
0.9545454545454545,0.04761904761904767,0.9370883632912166,0.93781486478337
0.9636363636363636,0.037735849056603765,0.9495117094806185,0.9500384433820239
0.9727272727272727,0.028037383177570208,0.9620141302835888,0.9623607588032556
0.9818181818181817,0.0185185185185186,0.9745960406679198,0.9747871890363783
0.9909090909090909,0.009174311926605672,0.9872578575892318,0.9873263167480063
1.0,0.0,1.0,1.0
